ticker,mercado,cierre,sma200,dist_%,ret5d_%,ret10d_%,pend_sma200_%,fecha_vela,fecha_barrido,universo,sin_datos
HIG,sp500,136.1,135.13,0.72,-1.39,-5.01,1.18,2026-08-21,2026-08-21,2723,51
BRK-B,sp500,495.82,492.12,0.75,-1.63,-4.98,0.41,2026-08-21,2026-08-21,2723,51
ETR,sp500,104.62,103.83,0.77,-2.99,-1.81,1.34,2026-08-21,2026-08-21,2723,51
GBCI,russell2000,47.25,46.88,0.78,-5.37,-3.08,1.21,2026-08-21,2026-08-21,2723,51
TCBI,russell2000,98.3,97.51,0.81,-2.69,-1.04,1.73,2026-08-21,2026-08-21,2723,51
UPS,sp500,102.01,101.16,0.84,-0.83,-0.83,2.09,2026-08-21,2026-08-21,2723,51
PNW,sp500,97.36,96.47,0.92,-4.06,-3.63,1.3,2026-08-21,2026-08-21,2723,51
ED,sp500,106.35,105.13,1.16,-1.45,-0.7,1.05,2026-08-21,2026-08-21,2723,51
MAA,sp500,131.31,129.68,1.25,-1.63,-2.7,0.44,2026-08-21,2026-08-21,2723,51
ES,sp500,70.21,69.34,1.26,-2.97,-2.93,0.25,2026-08-21,2026-08-21,2723,51
BKU,russell2000,46.33,45.73,1.31,-4.16,-0.28,2.05,2026-08-21,2026-08-21,2723,51
L,sp500,109.83,108.35,1.36,-2.78,-4.88,1.36,2026-08-21,2026-08-21,2723,51
MRCY,russell2000,91.36,89.95,1.56,-17.78,-15.91,3.0,2026-08-21,2026-08-21,2723,51
BANF,russell2000,112.91,111.17,1.56,-2.43,-0.09,-0.03,2026-08-21,2026-08-21,2723,51
CINF,sp500,168.29,165.59,1.63,-2.82,-4.85,1.3,2026-08-21,2026-08-21,2723,51
ARR,russell2000,16.34,16.05,1.83,-0.97,-0.61,1.61,2026-08-21,2026-08-21,2723,51
REG,sp500,76.06,74.69,1.83,-0.85,-1.37,1.19,2026-08-21,2026-08-21,2723,51
IBOC,russell2000,71.49,70.19,1.84,-2.58,-1.82,1.17,2026-08-21,2026-08-21,2723,51
AKAM,sp500,110.42,108.4,1.86,-11.66,-0.11,4.03,2026-08-21,2026-08-21,2723,51
CPT,sp500,107.59,105.6,1.89,-2.51,-3.88,1.09,2026-08-21,2026-08-21,2723,51
HBAN,sp500,17.03,16.71,1.92,-4.91,-2.96,1.24,2026-08-21,2026-08-21,2723,51
ZWS,russell2000,49.01,48.06,1.98,-3.63,-4.47,0.93,2026-08-21,2026-08-21,2723,51
