ticker,mercado,cierre,sma200,dist_%,ret5d_%,ret10d_%,pend_sma200_%,fecha_vela,fecha_barrido,universo,sin_datos
ALTO,russell2000,3.99,3.96,0.73,-5.9,-4.32,9.11,2026-08-25,2026-08-25,2722,50
ESE,russell2000,276.82,274.73,0.76,-9.68,-6.29,3.25,2026-08-25,2026-08-25,2722,50
IBOC,russell2000,70.81,70.24,0.81,-2.48,-0.72,1.09,2026-08-25,2026-08-25,2722,50
JOUT,russell2000,45.69,45.31,0.84,-4.51,-2.99,1.5,2026-08-25,2026-08-25,2722,50
RRR,russell2000,59.72,59.21,0.87,-2.91,-5.27,1.21,2026-08-25,2026-08-25,2722,50
PNW,sp500,97.67,96.58,1.13,-2.48,-2.37,1.25,2026-08-25,2026-08-25,2722,50
BKU,russell2000,46.32,45.8,1.14,-3.06,-1.45,2.03,2026-08-25,2026-08-25,2722,50
LKFN,russell2000,59.57,58.88,1.18,-3.11,-3.7,0.64,2026-08-25,2026-08-25,2722,50
LMT,sp500,556.52,549.45,1.29,-8.34,-6.9,1.9,2026-08-25,2026-08-25,2722,50
HBAN,sp500,16.95,16.73,1.32,-4.02,-4.61,1.3,2026-08-25,2026-08-25,2722,50
SBSI,russell2000,31.91,31.47,1.41,-0.77,-0.34,1.8,2026-08-25,2026-08-25,2722,50
NBHC,russell2000,41.29,40.69,1.47,-3.95,-4.4,1.7,2026-08-25,2026-08-25,2722,50
ZWS,russell2000,48.82,48.07,1.55,-0.57,-5.58,0.92,2026-08-25,2026-08-25,2722,50
NRIM,russell2000,25.55,25.11,1.72,-4.58,-4.54,2.2,2026-08-25,2026-08-25,2722,50
BOH,russell2000,76.16,74.79,1.83,-3.69,-4.12,2.38,2026-08-25,2026-08-25,2722,50
KMI,sp500,30.94,30.38,1.84,-5.87,-1.72,1.97,2026-08-25,2026-08-25,2722,50
NGVT,russell2000,69.05,67.8,1.85,-6.68,-11.24,2.89,2026-08-25,2026-08-25,2722,50
