ticker,mercado,cierre,sma200,dist_%,ret5d_%,ret10d_%,pend_sma200_%,fecha_vela,fecha_barrido,universo,sin_datos
IBOC,russell2000,70.77,70.26,0.72,-1.06,-1.69,1.05,2026-08-26,2026-08-27,2721,50
ARR,russell2000,16.22,16.07,0.9,-1.58,-1.11,1.54,2026-08-26,2026-08-27,2721,50
LKFN,russell2000,59.47,58.89,0.98,-1.0,-4.47,0.65,2026-08-26,2026-08-27,2721,50
BKU,russell2000,46.44,45.83,1.32,-0.83,-2.13,2.03,2026-08-26,2026-08-27,2721,50
NBHC,russell2000,41.31,40.72,1.44,-1.1,-4.09,1.71,2026-08-26,2026-08-27,2721,50
ELMD,russell2000,31.77,31.29,1.53,-22.27,-25.21,5.49,2026-08-26,2026-08-27,2721,50
ACEL,russell2000,11.81,11.61,1.73,-1.5,-4.29,1.62,2026-08-26,2026-08-27,2721,50
CPT,sp500,107.61,105.75,1.75,-0.73,-0.71,1.03,2026-08-26,2026-08-27,2721,50
HBAN,sp500,17.04,16.74,1.79,-0.76,-4.59,1.33,2026-08-26,2026-08-27,2721,50
GOOG,sp500,339.1,332.71,1.92,-0.76,-0.96,2.64,2026-08-26,2026-08-27,2721,50
NRIM,russell2000,25.63,25.13,1.98,-0.43,-4.83,2.15,2026-08-26,2026-08-27,2721,50
PLUS,russell2000,86.16,84.47,2.0,-0.11,-2.6,2.07,2026-08-26,2026-08-27,2721,50
