ticker,mercado,cierre,sma200,dist_%,ret5d_%,ret10d_%,pend_sma200_%,fecha_vela,fecha_barrido,universo,sin_datos
ESE,russell2000,275.62,274.46,0.42,-10.52,-8.37,3.35,2026-08-24,2026-08-24,2723,52
MTUS,russell2000,18.73,18.59,0.75,-14.98,-13.77,1.99,2026-08-24,2026-08-24,2723,52
PNW,sp500,97.71,96.52,1.23,-2.69,-1.53,1.27,2026-08-24,2026-08-24,2723,52
NGVT,russell2000,68.81,67.72,1.61,-9.21,-10.68,2.94,2026-08-24,2026-08-24,2723,52
ZWS,russell2000,48.86,48.07,1.65,-2.67,-4.1,0.93,2026-08-24,2026-08-24,2723,52
IBOC,russell2000,71.54,70.22,1.88,-2.19,-0.76,1.14,2026-08-24,2026-08-24,2723,52
RL,sp500,370.82,363.91,1.9,-2.24,-8.86,1.72,2026-08-24,2026-08-24,2723,52
HBAN,sp500,17.04,16.72,1.92,-5.07,-3.18,1.28,2026-08-24,2026-08-24,2723,52
PLUS,russell2000,86.26,84.6,1.96,-0.6,-4.43,2.15,2026-08-24,2026-08-24,2723,52
