ticker,mercado,cierre,sma200,dist_%,ret5d_%,ret10d_%,pend_sma200_%,fecha_vela,fecha_barrido,universo,sin_datos
TDY,sp500,612.95,611.8,0.19,-1.96,-9.5,2.09,2026-08-31,2026-09-01,2720,49
TT,sp500,444.4,442.8,0.36,-1.89,-6.51,0.92,2026-08-31,2026-09-01,2720,49
ARR,russell2000,16.22,16.1,0.75,-0.98,-1.46,1.43,2026-08-31,2026-09-01,2720,49
FELE,russell2000,100.09,99.34,0.75,-2.97,-3.78,1.0,2026-08-31,2026-09-01,2720,49
GHC,russell2000,1128.89,1120.34,0.76,-3.95,-3.12,1.37,2026-08-31,2026-09-01,2720,49
O,sp500,61.28,60.67,1.01,-2.99,-1.79,1.06,2026-08-31,2026-09-01,2720,49
ES,sp500,70.14,69.35,1.14,-1.56,-2.46,0.1,2026-08-31,2026-09-01,2720,49
ESQ,russell2000,111.72,110.45,1.15,-2.69,-9.97,2.3,2026-08-31,2026-09-01,2720,49
BOH,russell2000,75.93,75.05,1.17,-1.2,-4.89,2.23,2026-08-31,2026-09-01,2720,49
IP,sp500,37.93,37.49,1.17,-7.58,-5.79,-0.08,2026-08-31,2026-09-01,2720,49
MTX,russell2000,70.92,70.08,1.2,-1.4,-2.0,2.23,2026-08-31,2026-09-01,2720,49
UDR,sp500,36.95,36.51,1.2,-3.75,-0.78,1.01,2026-08-31,2026-09-01,2720,49
PHM,sp500,126.32,124.76,1.25,-2.54,-1.69,0.77,2026-08-31,2026-09-01,2720,49
NJR,russell2000,53.34,52.67,1.28,-0.74,-2.97,2.01,2026-08-31,2026-09-01,2720,49
PENN,russell2000,16.71,16.5,1.29,-8.49,-10.4,1.23,2026-08-31,2026-09-01,2720,49
EXR,sp500,141.1,139.28,1.31,-3.52,-3.94,0.69,2026-08-31,2026-09-01,2720,49
PECO,russell2000,38.65,38.14,1.34,-2.47,-3.25,1.75,2026-08-31,2026-09-01,2720,49
UNFI,russell2000,43.86,43.28,1.35,-9.64,-8.83,1.9,2026-08-31,2026-09-01,2720,49
GOOGL,sp500,339.35,334.57,1.43,-2.5,-1.35,2.43,2026-08-31,2026-09-01,2720,49
ED,sp500,107.02,105.51,1.43,-0.64,-1.0,1.08,2026-08-31,2026-09-01,2720,49
HLT,sp500,316.28,311.7,1.47,-4.18,-2.97,1.94,2026-08-31,2026-09-01,2720,49
NRIM,russell2000,25.57,25.18,1.56,-0.78,-4.91,1.94,2026-08-31,2026-09-01,2720,49
CBU,russell2000,62.75,61.73,1.65,-0.43,-3.48,1.51,2026-08-31,2026-09-01,2720,49
FTV,sp500,58.84,57.88,1.66,-2.68,-2.97,1.88,2026-08-31,2026-09-01,2720,49
UE,russell2000,21.16,20.81,1.69,-2.04,-3.16,1.26,2026-08-31,2026-09-01,2720,49
LMT,sp500,561.23,551.73,1.72,-0.52,-5.48,2.01,2026-08-31,2026-09-01,2720,49
BCC,russell2000,78.01,76.68,1.73,-5.14,-4.8,1.62,2026-08-31,2026-09-01,2720,49
ROK,sp500,424.43,417.13,1.75,-1.22,-4.54,1.94,2026-08-31,2026-09-01,2720,49
SHW,sp500,338.81,332.65,1.85,-2.28,-2.97,0.55,2026-08-31,2026-09-01,2720,49
FSS,russell2000,117.0,114.83,1.89,-2.32,-7.25,0.5,2026-08-31,2026-09-01,2720,49
KRG,russell2000,25.8,25.31,1.94,-1.75,-2.57,1.97,2026-08-31,2026-09-01,2720,49
TFC,sp500,49.58,48.63,1.95,-2.42,-5.62,1.94,2026-08-31,2026-09-01,2720,49
