ticker,mercado,cierre,sma200,dist_%,ret5d_%,ret10d_%,pend_sma200_%,fecha_vela,fecha_barrido,universo,sin_datos
ACS.MC,ibex35,106.3,105.56,0.7,-3.28,-2.74,3.81,2026-08-20,2026-08-20,803,5
ORA.PA,cac40,16.12,15.97,0.94,-0.98,-1.19,2.04,2026-08-20,2026-08-20,803,5
WRB,sp500,69.61,68.95,0.96,-0.17,-3.43,-0.2,2026-08-19,2026-08-20,803,5
AC.PA,cac40,45.7,45.11,1.3,-1.85,-3.22,1.02,2026-08-20,2026-08-20,803,5
MAA,sp500,131.47,129.48,1.53,-0.65,-2.3,0.31,2026-08-19,2026-08-20,803,5
ENGI.PA,cac40,25.49,25.05,1.76,-2.45,-4.03,3.08,2026-08-20,2026-08-20,803,5
CINF,sp500,168.49,165.43,1.85,-2.31,-5.23,1.32,2026-08-19,2026-08-20,803,5
