ticker,mercado,cierre,sma200,dist_%,ret5d_%,ret10d_%,pend_sma200_%,fecha_vela,fecha_barrido,universo,sin_datos
OCFC,russell2000,18.53,18.47,0.3,-1.75,-5.27,0.82,2026-09-01,2026-09-02,2720,47
KEY,sp500,21.21,21.13,0.39,-3.11,-6.93,2.59,2026-09-01,2026-09-02,2720,47
LION,russell2000,10.97,10.93,0.39,-6.88,-6.16,5.2,2026-09-01,2026-09-02,2720,47
MTX,russell2000,70.76,70.15,0.87,-1.45,-1.34,2.22,2026-09-01,2026-09-02,2720,47
JOE,russell2000,65.05,64.48,0.89,-6.42,-3.15,2.25,2026-09-01,2026-09-02,2720,47
ALLE,sp500,151.82,150.48,0.89,-5.33,-5.01,-0.38,2026-09-01,2026-09-02,2720,47
FOR,russell2000,27.52,27.27,0.9,-4.94,-3.94,1.22,2026-09-01,2026-09-02,2720,47
PRKS,russell2000,38.72,38.37,0.91,-11.44,-14.01,-0.59,2026-09-01,2026-09-02,2720,47
UDR,sp500,36.87,36.53,0.94,-3.41,-0.59,1.0,2026-09-01,2026-09-02,2720,47
BOH,russell2000,75.18,74.43,1.01,-0.38,-4.06,2.18,2026-09-01,2026-09-02,2720,47
AHRT,russell2000,6.41,6.34,1.04,-5.6,-4.19,0.95,2026-09-01,2026-09-02,2720,47
HIG,sp500,137.13,135.48,1.21,-0.79,-1.32,1.08,2026-09-01,2026-09-02,2720,47
GCO,russell2000,32.51,32.08,1.35,-3.33,-6.63,1.63,2026-09-01,2026-09-02,2720,47
ATEN,russell2000,24.95,24.61,1.39,-0.72,-6.2,3.87,2026-09-01,2026-09-02,2720,47
AOMR,russell2000,8.2,8.09,1.41,-2.84,-3.49,0.76,2026-09-01,2026-09-02,2720,47
DX,russell2000,12.74,12.56,1.41,-2.08,-2.08,0.9,2026-09-01,2026-09-02,2720,47
FFIN,russell2000,32.6,32.12,1.5,-3.29,-5.86,1.11,2026-09-01,2026-09-02,2720,47
O,sp500,61.36,60.44,1.53,-1.91,-0.93,1.07,2026-09-01,2026-09-02,2720,47
SHOO,russell2000,41.44,40.81,1.54,-8.92,-11.36,2.84,2026-09-01,2026-09-02,2720,47
CAT,sp500,779.16,767.34,1.54,-3.96,-7.34,3.86,2026-09-01,2026-09-02,2720,47
ABCB,russell2000,83.55,82.24,1.59,-2.33,-5.27,1.83,2026-09-01,2026-09-02,2720,47
TFC,sp500,49.44,48.66,1.6,-1.71,-5.67,1.89,2026-09-01,2026-09-02,2720,47
GENI,russell2000,7.18,7.07,1.62,-9.69,-4.14,-4.72,2026-09-01,2026-09-02,2720,47
ES,sp500,70.5,69.35,1.66,-0.75,-2.38,0.08,2026-09-01,2026-09-02,2720,47
PECO,russell2000,38.92,38.16,1.98,-2.48,-2.06,1.7,2026-09-01,2026-09-02,2720,47
