ticker,mercado,cierre,sma200,dist_%,ret5d_%,ret10d_%,pend_sma200_%,fecha_vela,fecha_barrido,universo,sin_datos
HBAN,sp500,16.86,16.75,0.67,-0.88,-5.12,1.32,2026-08-27,2026-08-28,2721,50
ACEL,russell2000,11.7,11.62,0.71,-3.31,-5.72,1.61,2026-08-27,2026-08-28,2721,50
REG,sp500,75.46,74.87,0.78,-1.37,-1.82,1.1,2026-08-27,2026-08-28,2721,50
IRT,russell2000,16.4,16.26,0.88,-1.38,-3.53,0.74,2026-08-27,2026-08-28,2721,50
BF-B,sp500,27.28,26.97,1.13,-3.98,-2.68,0.45,2026-08-27,2026-08-28,2721,50
L,sp500,109.82,108.55,1.17,-0.79,-2.52,1.23,2026-08-27,2026-08-28,2721,50
CAL,russell2000,12.54,12.39,1.17,-2.72,-8.67,1.46,2026-08-27,2026-08-28,2721,50
REX,russell2000,40.98,40.51,1.17,-7.68,-6.2,2.9,2026-08-27,2026-08-28,2721,50
NESN.SW,smi,78.52,77.57,1.23,-1.11,-3.15,0.54,2026-08-27,2026-08-28,2721,50
ED,sp500,106.69,105.39,1.23,-1.5,-0.76,1.06,2026-08-27,2026-08-28,2721,50
MTH,russell2000,70.53,69.66,1.24,-0.73,-4.2,0.76,2026-08-27,2026-08-28,2721,50
GOOG,sp500,337.71,333.0,1.41,-0.14,-1.81,2.57,2026-08-27,2026-08-28,2721,50
UDR,sp500,37.08,36.48,1.65,-1.62,-1.89,1.0,2026-08-27,2026-08-28,2721,50
PHM,sp500,126.75,124.69,1.66,-0.72,-2.91,0.76,2026-08-27,2026-08-28,2721,50
COCO,russell2000,61.63,60.59,1.72,-5.43,-5.49,3.97,2026-08-27,2026-08-28,2721,50
BFS,russell2000,33.45,32.82,1.91,-1.68,-4.43,1.69,2026-08-27,2026-08-28,2721,50
SKYW,russell2000,98.87,97.01,1.92,-1.9,-8.76,0.76,2026-08-27,2026-08-28,2721,50
GOOGL,sp500,340.65,334.04,1.98,-0.01,-1.65,2.65,2026-08-27,2026-08-28,2721,50
O,sp500,61.8,60.6,1.99,-2.17,-1.83,1.07,2026-08-27,2026-08-28,2721,50
