ticker,mercado,cierre,sma200,dist_%,ret5d_%,ret10d_%,pend_sma200_%,fecha_vela,fecha_barrido,universo,sin_datos
IRT,russell2000,16.31,16.26,0.31,-1.69,-4.23,0.73,2026-08-28,2026-08-29,2720,49
ENS,russell2000,185.46,184.82,0.35,-2.27,-8.82,3.84,2026-08-28,2026-08-29,2720,49
CAL,russell2000,12.48,12.4,0.63,-8.37,-6.66,1.51,2026-08-28,2026-08-29,2720,49
REG,sp500,75.52,74.91,0.81,-0.71,-1.55,1.08,2026-08-28,2026-08-29,2720,49
MGRC,russell2000,112.28,111.3,0.88,-3.75,-8.18,0.61,2026-08-28,2026-08-29,2720,49
BF-B,sp500,27.22,26.98,0.9,-4.29,-4.22,0.41,2026-08-28,2026-08-29,2720,49
HBAN,sp500,16.92,16.76,0.98,-0.65,-5.53,1.32,2026-08-28,2026-08-29,2720,49
L,sp500,109.72,108.58,1.05,-0.1,-2.87,1.19,2026-08-28,2026-08-29,2720,49
FELE,russell2000,100.56,99.31,1.26,-3.4,-4.93,1.04,2026-08-28,2026-08-29,2720,49
MPWR,sp500,1256.26,1240.37,1.28,-4.56,-10.4,2.71,2026-08-28,2026-08-29,2720,49
BFS,russell2000,33.27,32.85,1.29,-1.33,-4.4,1.68,2026-08-28,2026-08-29,2720,49
HAPN,russell2000,17.89,17.66,1.33,-2.88,-8.58,1.0,2026-08-28,2026-08-29,2720,49
WRBY,russell2000,25.0,24.66,1.37,-8.89,-3.51,2.58,2026-08-28,2026-08-29,2720,49
ARR,russell2000,16.32,16.09,1.41,-0.12,-1.09,1.47,2026-08-28,2026-08-29,2720,49
TT,sp500,448.96,442.68,1.42,-0.99,-6.51,0.94,2026-08-28,2026-08-29,2720,49
ALMS,russell2000,22.38,22.01,1.67,-7.41,-11.58,10.21,2026-08-28,2026-08-29,2720,49
COCO,russell2000,61.71,60.69,1.68,-2.59,-5.37,3.91,2026-08-28,2026-08-29,2720,49
UDR,sp500,37.12,36.5,1.71,-1.72,-1.79,1.01,2026-08-28,2026-08-29,2720,49
TDY,sp500,621.96,611.31,1.74,-2.23,-8.49,2.1,2026-08-28,2026-08-29,2720,49
ESQ,russell2000,112.35,110.38,1.78,-2.57,-12.27,2.35,2026-08-28,2026-08-29,2720,49
VECO,russell2000,44.29,43.51,1.8,-7.45,-15.47,5.0,2026-08-28,2026-08-29,2720,49
EVRG,sp500,80.65,79.19,1.85,-0.33,-3.22,0.95,2026-08-28,2026-08-29,2720,49
ODFL,sp500,198.63,194.93,1.9,-3.8,-5.85,3.77,2026-08-28,2026-08-29,2720,49
SKYW,russell2000,98.87,97.01,1.92,-2.2,-8.1,0.72,2026-08-28,2026-08-29,2720,49
NGVT,russell2000,69.43,68.12,1.93,-1.2,-9.56,2.96,2026-08-28,2026-08-29,2720,49
NRIM,russell2000,25.65,25.16,1.93,-0.58,-5.87,2.02,2026-08-28,2026-08-29,2720,49
MTH,russell2000,71.06,69.69,1.96,-0.86,-2.76,0.76,2026-08-28,2026-08-29,2720,49
